States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
A&N Island,472,472,15.3,79.2,6.8,68.0,16.7,85.8
Andhra Pradesh,2722,2716,19.7,41.5,19.5,46.5,22.9,49.2
Arunachal Pradesh,417,342,15.6,82.5,12.0,73.1,0.5,72.5
Assam,1848,1848,24.7,57.1,19.9,54.2,19.9,55.0
Bihar,2246,2117,16.0,45.3,7.4,45.9,11.8,37.2
Chandigarh,200,200,35.5,75.5,32.0,68.0,40.0,79.0
Chhattisgarh,2209,,24.4,,16.6,,11.5,
Dadra and Nagar Haveli and Daman and Diu,200,191,56.0,69.6,27.5,67.5,32.0,58.6
Delhi,234,230,73.1,88.7,65.0,86.1,65.0,89.6
Goa,1289,1289,48.4,77.8,35.1,79.8,43.2,84.8
Gujarat,2184,2184,15.2,40.6,12.1,27.1,14.0,34.8
Haryana,2289,2285,36.4,68.8,34.7,67.9,43.2,72.9
Himachal Pradesh,619,1432,31.7,61.5,26.8,54.9,20.5,55.1
Jammu & Kashmir,1073,1048,18.5,67.3,13.0,58.2,10.3,57.4
Jharkhand,83,,33.7,,15.7,,36.1,
Karnataka,2166,2173,50.0,85.5,45.2,84.1,45.5,83.2
Kerala,2182,2182,35.7,72.7,33.7,69.2,37.0,72.5
Madhya Pradesh,1014,1014,35.1,63.0,38.0,66.6,20.8,51.9
Maharashtra,4420,4420,31.4,76.3,33.5,79.7,31.2,77.8
Meghalaya,198,154,34.8,90.9,60.6,92.2,8.1,66.2
Nagaland,1056,,44.3,,28.1,,31.6,
Odisha,2262,2262,13.4,89.9,12.5,87.9,12.7,87.0
Pudhucherry,883,883,91.3,95.9,83.1,89.8,85.5,89.1
Punjab,2196,2196,33.2,66.1,29.5,66.7,30.2,68.1
Sikkim,1138,1016,12.5,52.4,11.2,48.2,12.6,45.9
Tamilnadu,2327,2327,51.4,78.3,36.5,68.5,40.6,70.3
Telanagana,2275,2275,29.8,64.0,22.6,56.0,22.0,57.2
Uttar Pradesh,2433,2240,33.0,54.6,22.0,57.1,25.2,45.3
Uttarakhand,1358,1236,16.7,58.2,13.3,59.7,11.0,45.0
West Bengal,803,814,30.8,75.3,17.2,63.0,19.6,63.6
Total,44860,41546,30.9,66.5,25.9,64.1,26.7,63.5
